agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-01-16T05:06:47.578Z,,,CHESAPEAKE,N,1,51550,8,2011-08-27T04:00:00.000Z,0,1,,51550021302,AE,0,36.7,-76.3,4,,0,2,0,,1,1958-07-01T04:00:00.000Z,2009-06-19T04:00:00.000Z,56112.01,1000,,0,1,0,VA,150000,1000,2011,23323,0,609d49562b72a70850fa3aa7
0,2021-02-21T01:12:20.348Z,105,0,HOUSTON,N,1,48201,7,2017-08-29T04:00:00.000Z,0,,1,48201540601,AE,0,29.9,-95.6,4,104.9,106.7,2,0,,1,1997-01-01T05:00:00.000Z,2014-02-02T05:00:00.000Z,228148.8,100000,,1,1,0,TX,250000,100000,2017,77084,1,609d49562b72a70850fa3aa9
0,2021-01-16T05:06:47.578Z,,,BATESVILLE,N,1,05063,,2014-04-27T04:00:00.000Z,0,1,,05063490600,AE,0,35.8,-91.7,0,,0,1,0,,2,1982-01-01T05:00:00.000Z,2009-06-19T04:00:00.000Z,,,,0,1,0,AR,5000,0,2014,72501,0,609d49562b72a70850fa3a96
0,2021-02-21T01:12:20.348Z,,0,ENTERPRISE,N,1,41063,,2019-04-09T04:00:00.000Z,0,,,41063960200,X,0,45.9,-117.5,3,,0,1,0,,1,1960-01-01T05:00:00.000Z,2013-02-18T05:00:00.000Z,0,,,0,7,0,OR,250000,100000,2019,97828,0,609d49562b72a70850fa3a9c
0,2021-01-16T05:06:47.578Z,9,,BUXTON,N,1,37055,7,2010-09-03T04:00:00.000Z,1,3,1,37055970502,A06,0,35.3,-75.5,4,5,9.8,2,0,10,4,1987-06-01T04:00:00.000Z,2009-06-09T04:00:00.000Z,16357.85,,,1,1,0,NC,500000,221800,2010,27920,0,609d49562b72a70850fa3a99
0,2021-02-21T01:12:20.348Z,8,0,PORT ARANSAS,N,1,48355,,2017-08-25T04:00:00.000Z,1,,-2,48355005102,AE,0,27.8,-97.1,7,5.2,5.8,2,0,50,1,1980-01-01T05:00:00.000Z,2014-02-05T05:00:00.000Z,1053.25,,,1,2,0,TX,133100,25000,2017,78373,1,609d49562b72a70850fa3aae
0,2021-02-21T01:12:20.348Z,8,2,ORANGE BEACH,N,1,01003,7,2014-05-01T04:00:00.000Z,1,,0,01003011406,AE,0,30.3,-87.6,2,7.5,8,2,0,50,2,1991-01-01T05:00:00.000Z,2014-04-12T04:00:00.000Z,,,,1,B,0,AL,150000,15000,2014,36561,0,609d49562b72a70850fa3ac6
0,2021-02-21T01:12:20.348Z,,,GREENSBURG,N,1,42129,,2015-06-15T04:00:00.000Z,0,,,42129804702,X,0,40.3,-79.6,0,,0,1,0,,6,1960-06-01T04:00:00.000Z,2013-04-11T04:00:00.000Z,2814.42,,,0,1,0,PA,55000,0,2015,15601,0,609d49562b72a70850fa3a9d
0,2021-02-21T01:12:20.348Z,,2,WABASH,N,1,18169,,2013-04-18T04:00:00.000Z,0,,,18169102900,X,0,40.8,-85.9,2,,0,2,0,,1,1985-01-01T05:00:00.000Z,2013-03-30T04:00:00.000Z,20782.5,,,0,7,0,IN,200000,80000,2013,46992,1,609d49562b72a70850fa3a94
0,2021-01-16T05:06:47.578Z,,2,PISCATAWAY,N,1,34023,,2011-08-28T04:00:00.000Z,0,1,,34023000701,A05,0,40.5,-74.5,2,,0,3,0,,3,1975-05-28T04:00:00.000Z,2009-07-22T04:00:00.000Z,36164.95,,,0,1,0,NJ,250000,16000,2011,08854,0,609d49562b72a70850fa3a9f
0,2021-02-21T01:12:20.348Z,,2,WABASH,N,1,18169,,2015-06-16T04:00:00.000Z,0,,,18169102900,X,0,40.8,-85.9,2,,0,2,0,,1,1985-01-01T05:00:00.000Z,2013-03-30T04:00:00.000Z,20888.74,,,0,7,0,IN,200000,80000,2015,46992,1,609d49562b72a70850fa3a95
0,2021-02-21T01:12:20.348Z,79,0,HOUSTON,N,1,48201,7,2016-04-18T04:00:00.000Z,1,,-1,48201222401,AE,0,29.9,-95.4,0,75.6,78.1,1,0,10,1,1950-01-01T05:00:00.000Z,2014-01-17T05:00:00.000Z,1652.27,,,0,1,0,TX,110000,0,2016,77037,0,609d49562b72a70850fa3aaa
0,2021-01-16T05:06:47.578Z,,,WAYCROSS,N,1,13299,,2017-09-11T04:00:00.000Z,0,,,13299950600,C,0,31.2,-82.3,3,,0,1,0,,1,1992-03-30T05:00:00.000Z,2009-07-15T04:00:00.000Z,,,,1,R,0,GA,50000,20000,2017,31501,0,609d49562b72a70850fa3aa0
0,2021-02-21T01:12:20.348Z,105,0,HOUSTON,N,1,48201,7,2016-04-18T04:00:00.000Z,0,,1,48201540601,AE,0,29.9,-95.6,4,104.9,106.7,2,0,,1,1997-01-01T05:00:00.000Z,2014-02-02T05:00:00.000Z,109050.94,92129.32,,1,1,0,TX,250000,100000,2016,77084,1,609d49562b72a70850fa3aa8
0,2021-01-16T05:06:47.578Z,5,,POINT PLEASANT BORO,L,6,34029,7,2012-10-29T04:00:00.000Z,1,3,4,34029711400,AE,0,40.1,-74.1,0,4.9,8.8,3,0,15,3,1986-01-01T05:00:00.000Z,2009-06-19T04:00:00.000Z,84231.31,,,1,1,0,NJ,1474700,0,2012,08742,1,609d49562b72a70850fa3ab4
0,2021-05-02T22:39:19.044Z,,1,PROSPECT,N,1,21111,3,2017-04-29T04:00:00.000Z,0,,,21111010312,X,0,38.3,-85.6,2,,0,3,0,,1,1983-01-01T05:00:00.000Z,2013-12-20T05:00:00.000Z,20754.16,,,1,7,0,KY,250000,100000,2017,40059,1,609d49562b72a70850fa3ac0
0,2021-01-16T05:06:47.578Z,,,OCEAN CITY,U,1,34009,4,2012-10-29T04:00:00.000Z,0,1,,34009020206,A07,0,39.2,-74.6,4,,0,2,0,,2,1970-01-01T05:00:00.000Z,2009-08-29T04:00:00.000Z,12628.98,,,0,1,0,NJ,250000,75000,2012,08226,0,609d49562b72a70850fa3a97
0,2021-01-16T05:06:47.578Z,,2,WHEATON,N,1,17043,6,2013-04-18T04:00:00.000Z,0,1,,17043842604,X,0,41.8,-88.1,2,,0,4,0,,1,1971-04-01T05:00:00.000Z,2009-07-15T04:00:00.000Z,12581.99,1148.49,,0,7,0,IL,150000,60000,2013,60189,1,609d49562b72a70850fa3a98
0,2021-02-21T01:12:20.348Z,14,0,JOHNS ISLAND,N,1,45019,5,2017-09-11T04:00:00.000Z,1,,3,45019002104,VE,0,32.6,-80.0,4,7,17,2,0,10,1,2001-07-23T04:00:00.000Z,2014-09-16T04:00:00.000Z,13231.65,,,1,1,0,SC,250000,100000,2017,29455,0,609d49562b72a70850fa3ac3
0,2021-02-21T01:12:20.348Z,,,GREENSBURG,N,1,42129,,2018-09-10T04:00:00.000Z,0,,,42129804702,X,0,40.3,-79.6,0,,0,1,0,,6,1960-06-01T04:00:00.000Z,2013-04-11T04:00:00.000Z,55000,,,0,1,0,PA,55000,0,2018,15601,0,609d49562b72a70850fa3a9e
0,2021-01-16T05:06:47.578Z,9,,BUXTON,N,1,37055,7,2012-10-27T04:00:00.000Z,1,3,1,37055970502,A06,0,35.3,-75.5,4,5,9.8,2,0,10,4,1987-06-01T04:00:00.000Z,2009-06-09T04:00:00.000Z,7694.25,,,1,1,0,NC,500000,221800,2012,27920,0,609d49562b72a70850fa3a9a
